real_pol,random_pol,CI_lows_real,CI_high_real,CI_lows_random,CI_high_random
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5366943616829436,0.49825604271753926,0.5312989379127867,0.5414942915583179,0.48667227960392456,0.5077009172253389
0.5350394781251924,0.5002552127163846,0.5299442897655141,0.5406998205714973,0.49266315507234726,0.5087644876485539
0.5388578616092133,0.4979794154074066,0.5344975290530888,0.5425132737354311,0.4877974798718613,0.5050772541849853
0.5291666113767651,0.4991781667340037,0.5238804532315232,0.5340144161818879,0.49271555386617966,0.5051241086341037
0.5365199587517884,0.5020442637320391,0.5317975733100486,0.5409758193298501,0.4925385728797191,0.508326635518735
0.5365806755125404,0.5020441440094279,0.5365806755125404,0.5365806755125404,0.5020441440094279,0.5020441440094279
0.5397447142639792,0.5088617546544112,0.5397447142639792,0.5397447142639792,0.5088617546544112,0.5088617546544112
0.5957247052237157,0.5049043993653919,0.5957247052237157,0.5957247052237157,0.5049043993653919,0.5049043993653919
