real_pol,random_pol,CI_lows_real,CI_high_real,CI_lows_random,CI_high_random
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5397059960149941,0.5030580340569004,0.5353036770902803,0.544011910428469,0.4905028455812313,0.5126311404026161
0.5410916792935199,0.5003563418218753,0.534635951956446,0.5463911569582821,0.4917780439725688,0.5090249716768311
0.5393313740362711,0.4990966474931966,0.5347776216000928,0.5440204085850882,0.4911994144136617,0.5056494447012597
0.5272194732494395,0.49939847237300805,0.5228641116567385,0.5317827427888037,0.49408076180225624,0.504364035337623
0.5365199587517884,0.4983182626680328,0.5302201812597095,0.5410253168045331,0.4883806927508957,0.5059686141121781
0.5412035070819416,0.49782223612140264,0.5412035070819416,0.5412035070819416,0.49782223612140264,0.49782223612140264
0.54631425157966,0.49479052282749336,0.54631425157966,0.54631425157966,0.49479052282749336,0.49479052282749336
0.6175652461334493,0.4971947800892147,0.6175652461334493,0.6175652461334493,0.4971947800892147,0.4971947800892147
