real_pol,random_pol,CI_lows_real,CI_high_real,CI_lows_random,CI_high_random
0.5066529556305388,0.4997589625437324,0.5062683743383435,0.5070180208571601,0.4988615515284263,0.5007114777441889
0.5055725221708433,0.4996291756639143,0.5050727325744223,0.5060988898203747,0.4986305129556624,0.500587360302774
0.5089741232056759,0.5008959229877704,0.5084547981208887,0.5096289938958494,0.4995281591371934,0.5022670435101789
0.5078685043875113,0.4992568411443328,0.5072370252350141,0.5084701865389567,0.4978469153393594,0.5005680643833224
0.5068951184539756,0.4999438548077077,0.5061444065672767,0.5075964307451096,0.49843481863761624,0.5013542537525565
0.5080980745220725,0.501003213843615,0.5072697440313129,0.5091220974608215,0.4995008876277783,0.5021797222207889
0.5089008079861145,0.5003364486787585,0.5080057725213724,0.5098044113117156,0.4988448759017037,0.5018474521402615
0.5123160966979285,0.49885304104455286,0.5115636964227143,0.5130181420324441,0.49740070709362655,0.5001188992796014
0.5110988020108208,0.49960310273763664,0.5101954094234373,0.5119790233507129,0.4982485859861291,0.5009111339617693
0.5115056049214424,0.49925296176296907,0.5103946362087495,0.5122936121783209,0.49776465940532566,0.500496667166619
